keys,ar
Text/299_suppress1/text,تندلع الفوضى مع بدء هجوم المقاومة. تهز الانفجارات نقطة التفتيش.
Text/299_suppress2/text,كان بإمكانك الهرب. كان بإمكانك الاختباء. بدلاً من ذلك، أنت [color=DARK_ORANGE]تختار جانبك[/color].
Text/299_suppress3/text,يمسك راسيت بذراعك. [pulse freq=2][color=YELLOW]هذه فرصتك الآن![/color][/pulse] أثبت ولاءك!
Text/299_suppress4/text,تحاول المقاومة اختراق البوابة الشرقية! [color=CRIMSON]أوقفهم![/color]
Text/299_suppress5/text,تمسك سلاحك بإحكام. قد يكون هؤلاء أشخاصًا تعرفهم. أشخاصًا ساعدتهم.
Text/299_suppress6/text,لكن للبقاء ثمن. [color=DARK_ORANGE]لقد اتخذت قرارك.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]قاتل من أجل الدولة![/color][/pulse] اخمد هجوم المقاومة!
Text/299_suppress8/text,عندما ينقشع الدخان، تتناثر الجثث على الأرض. بعضهم يرتدي شارات المقاومة.
Text/299_suppress9/text,[color=STEEL_BLUE]تتعرف على وجوه بين القتلى.[/color]
Text/299_suppress10/text,يرقد مورفي بين القتلى. عيناه تحدقان في الفراغ. صورة تومي قابضة في يده.
Text/299_suppress11/text,[color=STEEL_BLUE]لقد مات وهو يقاتل من أجل شيء آمن به. وقد ساعدت في القضاء عليه.[/color]
Text/300/text,فشل هجوم المقاومة. نقطة التفتيش صامدة، أقوى من أي وقت مضى. وأنت لا تزال في موقعك.
Text/301/text,[pulse freq=2][color=GOLD]عاش رئيس الوزراء أيداهو![/color][/pulse] حامي سبود! قاهر الخونة!
Text/302/text,بطاطا ضخمة بزي رسمي مزخرف تنزل من مركبة مدرعة، يحيط بها حراس النخبة.
Text/303/text,يتفحص أيداهو نقطة التفتيش بعينين باردتين وحاسبتين.
Text/304/text,يهرول راسيت إلى الأمام، ينحني بعمق. أيها رئيس الوزراء! نتشرف بحضورك!
Text/305/text,لقد تم [color=DARK_VIOLET]معالجة[/color] الخونة كما أمرت. ارتفع الإنتاج بنسبة 40% هذا الربع!
Text/306/text,وهذا هو الضابط الذي ظل مخلصًا أثناء الانتفاضة؟
Text/307/text,نعم، أيها رئيس الوزراء. تفانٍ لا يتزعزع. أبلغ عن أنشطة مشبوهة. مواطن مثالي.
Text/308/text,يتقدم أيداهو إلى الأمام، يثبت ميدالية على صدرك - [color=GOLD]الدرنة الذهبية[/color].
Text/309/text,لخدمة تفوق الواجب. لقد أثبت أن [color=DARK_ORANGE]الولاء لسبود[/color] سيُكافأ دائمًا.
Choice/30a/text,شكرًا لك، أيها رئيس الوزراء. المجد لسبود.
Choice/30b/text,لقد قمت بواجبي فحسب، سيدي. (ابتسامة مصطنعة)
Text/30c/text,ابتسامة أيداهو لا تصل إلى عينيه. نعم. لقد فعلت ذلك بالتأكيد.
Text/30d/text,يتأملك أيداهو للحظة طويلة. الواجب. [color=STEEL_BLUE]كلمة بسيطة لمثل هذه الأفعال المعقدة.[/color]
Text/30e/text,"أتساءل أي [color=CRIMSON]كوابيس[/color] تزور أولئك الذين يؤدون ""واجبهم"" على أكمل وجه."
Text/30f/text,أقيمت وليمة احتفالاً بالنصر. الطاولات تتأوه تحت وطأة الطعام، بما في ذلك حصص سخية من [color=DARK_VIOLET]مخزون الجذور[/color].
Text/310/text,يرفع راسيت كأساً من سائل أرجواني كثيف. نخب! للخونة [color=CRIMSON]الذين يغذوننا[/color]!
Text/311/text,تضحك الغرفة. البعض بتوتر. معظمهم بصدق.
Text/312/text,"يدفع طبقاً نحوك. جرب الدفعة الجديدة. [color=DARK_VIOLET]""مزيج المقاومة.""[/color] مساهمة ساشا في مستقبل سبود."
Text/313/text,معدتك تتقلب. الطعام في الطبق. [color=CRIMSON]ساشا.[/color] ابنة عم مورفي. الزوجة من الصورة.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]كلهم.[/color][/tornado]
Choice/315/text,أجبر نفسك على الأكل - حافظ على غطائك
Choice/316/text,ادفع الطبق بعيداً - لا يمكنك فعل هذا
Text/317/text,ترفع الشوكة إلى شفتيك. تغمض عينيك. [color=STEEL_BLUE]امضغ. ابتلع. لا تفكر.[/color]
Text/318/text,"يومئ راسيت بالموافقة. ""جيد. [color=DARK_ORANGE]ستصل بعيداً.[/color]"""
Text/319/text,"تدفع الطبق بعيداً. ""أنا لا أشعر أنني بخير. حماس اليوم..."""
Text/31a/text,تضيق عينا راسيت للحظة، ثم تلين. بالطبع. يا لها من [color=YELLOW]بنية حساسة[/color].
Text/31b/text,استرح. غداً، لدينا [color=CRIMSON]مزيد من المعالجة[/color] للإشراف عليها.
Text/31c/text,تعود إلى غرفتك. الميدالية تثقل صدرك.
Text/31d/text,تسحب صورة الزوجة المفقودة. زوجتها ربما تكون في نفس الدفعة مثلها الآن.
Text/31e/text,لقد وعدت بالعثور عليها. [color=STEEL_BLUE]لقد وجدتها.[/color] فقط ليس بالطريقة التي تمنيتها أنت أو هي.
Text/31f/text,مورفي. صديقك. الذي وثق بك. كان في المقاومة.
Text/320/text,[color=CRIMSON]كان.[/color]
Text/321/text,تحدق في انعكاسك في النافذة. الميدالية تلمع. [color=DARK_ORANGE]الدرنة الذهبية[/color]. بطل سبود.
Text/322/text,[color=STEEL_BLUE]وحش في جلد بطاطس.[/color]
Text/323/text,في تلك الليلة، تحلم بساشا. هي لا تتهم. لا تغضب. هذا سيكون أسهل.
Text/324/text,هي فقط تنظر إليك بتلك العينين. [color=CHARTREUSE]الجذور تنمو عميقة[/color]، تهمس.
Text/325/text,حتى [color=STEEL_BLUE]الفاسدة منها[/color].
Text/326/text,تمر الشهور. تتم ترقيتك. مفتش إقليمي لأمن الحدود. اليد اليمنى لراسيت.
Text/327/text,أنت تشرف على رفض عدد من البطاطا أكثر من أي شخص آخر في تاريخ سبود. إنتاج [color=DARK_VIOLET]احتياطي الجذور[/color] يرتفع بشكل كبير.
Text/328/text,مكتبك مريح. حصصك التموينية سخية. عائلتك محمية.
Text/329/text,لديك كل ما وُعدت به.
Text/32a/text,كل شيء باستثناء [color=STEEL_BLUE]النوم[/color]. باستثناء [color=STEEL_BLUE]السلام[/color]. باستثناء القدرة على النظر في المرآة.
Text/32b/text,في أحد الأيام، تلاحظ ذلك. شعار [color=GOLD]بطاطا أصفر[/color] محفور على جدار. ثم آخر. ثم العشرات.
Text/32c/text,مقاومة جديدة تتشكل. أكثر هدوءًا. أكثر حذرًا. تتعلم من أخطاء ساشا.
Choice/32d/text,أبلغ الأمن عن الرموز فورًا
Choice/32e/text,تظاهر بأنك لم ترها
Choice/32f/text,اترك بصمتك الخاصة - ورقة صفراء واحدة
Text/330/text,تقدم التقرير. يتم اعتقال دفعة أخرى من المشتبه بهم. ترقية أخرى.
Text/331/text,تستمر الدورة. [color=CRIMSON]لقد أصبحت الآلة.[/color]
Text/332/text,تمر بجانبها. لا تقول شيئًا. ليس بالكثير. [color=STEEL_BLUE]إنه لا شيء تقريبًا.[/color]
Text/333/text,لكنها المرة الأولى التي اخترت فيها ألا تتصرف ضدهم.
Text/334/text,ربما هذا شيء ما. ربما [color=YELLOW]قليل جدًا، ومتأخر جدًا[/color].
Text/335/text,عندما لا يراقب أحد، تحفر ورقة [color=GOLD]صفراء صغيرة[/color] بجانب الشعارات.
Text/336/text,فعل تحدٍ واحد. متأخر بسنوات. لكن [color=CHARTREUSE]شيئًا ما[/color].
Text/337/text,"صوت ساشا يتردد في ذاكرتك: ""[color=CHARTREUSE]الجذور تنمو عميقًا.[/color]"""
Text/338/text,ربما عميقة بما يكفي لتصل [color=CHARTREUSE]حتى إليك[/color]. يومًا ما.
Text/339/text,أمة سبود تصمد. [color=DARK_VIOLET]احتياطي الجذور[/color] يتدفق. تستمر دورة الاستهلاك.
Text/33a/text,لكن في مكان ما، في شقوق الجدار، [color=CHARTREUSE]شيء جديد ينمو[/color].
Text/33b/text,ما إذا كنت ستكون جزءًا منه... [color=YELLOW]تلك القصة لم تُكتب بعد[/color].
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
