keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
Text/78/text,"Another day at the checkpoint. The line of potatoes stretches longer than ever, with everyone on edge.","Další den na kontrolním stanovišti. Fronta brambor je delší než kdy jindy, každý je napjatý.","Endnu en dag ved kontrolpunktet. Kartoffelrækken strækker sig længere end nogensinde, alle er på kant.","Ein weiterer Tag am Kontrollpunkt. Die Kartoffelreihe erstreckt sich länger als je zuvor, alle sind angespannt.","Otro día en el punto de control. La fila de patatas se extiende más larga que nunca, todos están nerviosos.","Toinen päivä tarkastuspisteellä. Perunajono on pidempi kuin koskaan, kaikki ovat hermostuneita.","Une autre journée au point de contrôle. La file de pommes de terre s'étend plus longue que jamais, tout le monde est sur le qui-vive.","Újabb nap az ellenőrzőponton. A krumplisor most hosszabb, mint valaha, mindenki feszült.","Satu hari lagi di pos pemeriksaan. Barisan kentang membentang lebih panjang dari sebelumnya, semua orang tegang.","Un altro giorno al punto di controllo. La fila di patate si allunga più che mai, tutti sono tesi.","Nog een dag bij het controlepost. De rij aardappelen strekt zich langer uit dan ooit, iedereen is gespannen.","Enda en dag ved kontrollpunktet. Potetrekken strekker seg lenger enn noensinne, alle er anspente.","Kolejny dzień na punkcie kontrolnym. Kolejka ziemniaków ciągnie się dłużej niż kiedykolwiek, wszyscy są na krawędzi.","Mais um dia no posto de controle. A fila de batatas se estende mais longa do que nunca, todos tensos.","O altă zi la punctul de control. Rândul de cartofi se întinde mai lung ca niciodată, toată lumea este tensionată.","Ďalší deň na kontrolnom bode. Rad zemiakov sa tiahne dlhšie než kedykoľvek predtým, každý je napätý.","Ännu en dag vid kontrollpunkten. Potatisraden sträcker sig längre än någonsin, alla är på tå.","Kontrol noktasında başka bir gün. Patates kuyruğu her zamankinden daha uzun, herkes gergin.","Một ngày nữa tại điểm kiểm soát. Hàng khoai tây dài hơn bao giờ hết, mọi người đều căng thẳng."
Text/79/text,New orders from the top. We're [wave amp=15 freq=3][color=DARK_ORANGE]doubling rejections[/color][/wave]. Any potato deemed unsafe is detained immediately.,Nové rozkazy shora. [wave amp=15 freq=3][color=DARK_ORANGE]Zdvojnásobujeme zamítnutí[/color][/wave]. Jakékoli brambory považované za nebezpečné jsou okamžitě zadrženy.,"Nye ordrer fra toppen. [wave amp=15 freq=3][color=DARK_ORANGE]Vi fordobler afvisningerne[/color][/wave]. Enhver kartoffel, der anses for usikker, tilbageholdes øjeblikkeligt.","Neue Befehle von oben. [wave amp=15 freq=3][color=DARK_ORANGE]Wir verdoppeln die Ablehnungen[/color][/wave]. Jede Kartoffel, die als unsicher gilt, wird sofort festgehalten.",Nuevas órdenes desde arriba. [wave amp=15 freq=3][color=DARK_ORANGE]Duplicamos los rechazos[/color][/wave]. Cualquier patata considerada insegura es detenida inmediatamente.,Uudet käskyt ylhäältä. [wave amp=15 freq=3][color=DARK_ORANGE]Kaksinkertaistamme hylkäämiset[/color][/wave]. Jokainen turvallisuusriskinä pidetty peruna pidätetään välittömästi.,Nouveaux ordres de la hiérarchie. [wave amp=15 freq=3][color=DARK_ORANGE]Nous doublons les rejets[/color][/wave]. Toute pomme de terre jugée dangereuse est immédiatement détenue.,"Új utasítások felülről. [wave amp=15 freq=3][color=DARK_ORANGE]Megduplázzuk az elutasításokat[/color][/wave]. Minden krumplit, amit veszélyesnek ítélnek, azonnal visszatartanak.",Perintah baru dari atas. [wave amp=15 freq=3][color=DARK_ORANGE]Kami menggandakan penolakan[/color][/wave]. Setiap kentang yang dianggap tidak aman segera ditahan.,Nuovi ordini dall'alto. [wave amp=15 freq=3][color=DARK_ORANGE]Raddoppiamo i respingimenti[/color][/wave]. Ogni patata ritenuta non sicura viene immediatamente trattenuta.,"Nieuwe orders van bovenaf. [wave amp=15 freq=3][color=DARK_ORANGE]We verdubbelen de afwijzingen[/color][/wave]. Elke aardappel die als onveilig wordt beschouwd, wordt onmiddellijk vastgehouden.","Nye ordre ovenfra. [wave amp=15 freq=3][color=DARK_ORANGE]Vi dobler avvisningene[/color][/wave]. Enhver potet som anses som utrygg, blir umiddelbart tilbakeholdt.",Nowe rozkazy z góry. [wave amp=15 freq=3][color=DARK_ORANGE]Podwajamy odrzucenia[/color][/wave]. Każdy ziemniak uznany za niebezpieczny jest natychmiast zatrzymywany.,Novas ordens do topo. [wave amp=15 freq=3][color=DARK_ORANGE]Dobrando as rejeições[/color][/wave]. Qualquer batata considerada insegura é detida imediatamente.,Noi ordine de sus. [wave amp=15 freq=3][color=DARK_ORANGE]Dublăm respingerile[/color][/wave]. Orice cartof considerat nesigur este reținut imediat.,Nové príkazy zhora. [wave amp=15 freq=3][color=DARK_ORANGE]Zdvojnásobujeme zamietnutia[/color][/wave]. Každý zemiak považovaný za nebezpečný je okamžite zadržaný.,Nya order från ovan. [wave amp=15 freq=3][color=DARK_ORANGE]Vi fördubblar avvisningarna[/color][/wave]. Varje potatis som anses osäker kvarhålls omedelbart.,Yukarıdan yeni emirler. [wave amp=15 freq=3][color=DARK_ORANGE]Reddetmeleri ikiye katlıyoruz[/color][/wave]. Güvensiz sayılan her patates hemen alıkonuluyor.,Những mệnh lệnh mới từ trên. [wave amp=15 freq=3][color=DARK_ORANGE]Chúng tôi tăng gấp đôi các lệnh từ chối[/color][/wave]. Bất kỳ khoai tây nào bị coi là không an toàn sẽ bị giữ lại ngay lập tức.
Text/7a/text,I have a special assignment. We've got intel on [pulse freq=2][color=CRIMSON]troublemakers[/color][/pulse]. Be vigilant with your inspections.,Mám speciální úkol. Máme zpravodajské informace o [pulse freq=2][color=CRIMSON]problémových jedincích[/color][/pulse]. Buďte obezřetní při kontrolách.,Jeg har en særlig opgave. Vi har efterretninger om [pulse freq=2][color=CRIMSON]problematiske personer[/color][/pulse]. Vær opmærksom under jeres inspektioner.,Ich habe einen Sonderauftrag. Wir haben Erkenntnisse über [pulse freq=2][color=CRIMSON]Unruhestifter[/color][/pulse]. Seien Sie bei Ihren Kontrollen wachsam.,Tengo una misión especial. Tenemos información sobre [pulse freq=2][color=CRIMSON]alborotadores[/color][/pulse]. Estén vigilantes en sus inspecciones.,Minulla on erikoistehtävä. Meillä on tiedustelutietoa [pulse freq=2][color=CRIMSON]häiriköistä[/color][/pulse]. Olkaa tarkkaavaisia tarkastuksissanne.,J'ai une mission spéciale. Nous avons des renseignements sur des [pulse freq=2][color=CRIMSON]agitateurs[/color][/pulse]. Soyez vigilants lors de vos inspections.,Különleges megbízatásom van. Hírszerzési adataink vannak [pulse freq=2][color=CRIMSON]zavarkeltőkről[/color][/pulse]. Legyenek éberek az ellenőrzés során.,Saya memiliki tugas khusus. Kami memiliki informasi intelijen tentang [pulse freq=2][color=CRIMSON]para pengacau[/color][/pulse]. Waspadalah dalam pemeriksaan Anda.,Ho un incarico speciale. Abbiamo informazioni su [pulse freq=2][color=CRIMSON]elementi sovversivi[/color][/pulse]. Siate vigili durante le vostre ispezioni.,Ik heb een speciale opdracht. We hebben inlichtingen over [pulse freq=2][color=CRIMSON]rellenmakers[/color][/pulse]. Wees waakzaam bij uw inspecties.,Jeg har en spesiell oppgave. Vi har etterretning om [pulse freq=2][color=CRIMSON]bråkmakere[/color][/pulse]. Vær årvåkne under inspeksjonene.,Mam specjalne zadanie. Mamy informacje wywiadowcze o [pulse freq=2][color=CRIMSON]troublemakers[/color][/pulse]. Bądźcie czujni podczas inspekcji.,Tenho uma missão especial. Temos informações de inteligência sobre [pulse freq=2][color=CRIMSON]agitadores[/color][/pulse]. Estejam vigilantes durante as inspeções.,Am o misiune specială. Avem informații de informații despre [pulse freq=2][color=CRIMSON]agitatori[/color][/pulse]. Fiți vigilenți în timpul inspecțiilor.,Mám špeciálnu úlohu. Máme spravodajské informácie o [pulse freq=2][color=CRIMSON]výtržníkoch[/color][/pulse]. Buďte ostražití počas kontrol.,Jag har ett särskilt uppdrag. Vi har underrättelser om [pulse freq=2][color=CRIMSON]bråkmakare[/color][/pulse]. Var vaksamma under era inspektioner.,Özel bir görevim var. [pulse freq=2][color=CRIMSON]Provokatörler[/color][/pulse] hakkında istihbarat aldık. Denetimlerde tetikte olun.,Tôi có nhiệm vụ đặc biệt. Chúng tôi có thông tin tình báo về [pulse freq=2][color=CRIMSON]những kẻ gây rối[/color][/pulse]. Hãy cảnh giác trong các cuộc thanh tra của mình.
Choice/7b/text,"""Yes sir, I won't let you down""","Ano, pane, nezklamám vás","Ja, hr., jeg vil ikke svigte dig","Ja, Herr, ich werde Sie nicht enttäuschen","Sí, señor, no le decepcionaré","Kyllä, herra, en petä teitä","Oui, monsieur, je ne vous décevrai pas","Igen, uram, nem fogom cserbenhagyni","Ya, pak, saya tidak akan mengecewakan Anda","Sì, signore, non la deluderò","Ja, meneer, ik zal u niet teleurstellen","Ja, herr, jeg skal ikke skuffe deg","Tak, proszę pana, nie zawiodę","Sim, senhor, não vou decepcioná-lo","Da, domnule, nu vă voi dezamăgi","Áno, pán, nesklame vás","Ja, herr, jag ska inte svika er","Evet, efendim, sizi hayal kırıklığına uğratmayacağım","Vâng, thưa ông, tôi sẽ không làm ông thất vọng"
Choice/7c/text,"""What kind of troublemakers are we talking about?""",O jakých problémových jedincích mluvíte?,Hvilke slags problematiske personer taler vi om?,Von welchen Unruhestiftern sprechen wir?,¿De qué tipo de alborotadores estamos hablando?,Minkälaisista häiriköistä on kyse?,De quels types d'agitateurs parlez-vous ?,Milyen típusú zavarkeltőkről beszélünk?,Jenis pengacau macam apa yang kita bicarakan?,Di che tipo di elementi sovversivi stiamo parlando?,Over wat voor soort rellenmakers hebben we het?,Hva slags bråkmakere snakker vi om?,O jakich troublemakers mówimy?,De que tipo de agitadores estamos falando?,Despre ce fel de agitatori vorbim?,O akých výtržníkoch hovoríme?,Vilka slags bråkmakare pratar vi om?,Ne tür provokatörlerden bahsediyoruz?,Chúng ta đang nói về những kẻ gây rối như thế nào?
Text/7d/text,Good. I knew I could count on you. You'll go far with that attitude.,"Dobře. Věděl jsem, že se na vás mohu spolehnout. S tímto přístupem postoupíte vysoko.","Godt. Jeg vidste, jeg kunne stole på dig. Du vil nå langt med den indstilling.","Gut. Ich wusste, ich kann mich auf Sie verlassen. Sie werden mit dieser Einstellung weit kommen.",Bien. Sabía que podía contar contigo. Llegarás lejos con esa actitud.,"Hyvä. Tiesin, että voin luottaa sinuun. Tulet menestyväksi tuolla asenteella.",Bien. Je savais que je pouvais compter sur vous. Vous irez loin avec cet état d'esprit.,"Jó. Tudtam, hogy számíthatok magára. Ezzel a hozzáállással messzire fog jutni.",Bagus. Saya tahu saya bisa mengandalkan Anda. Anda akan maju jauh dengan sikap seperti ini.,Bene. Sapevo di poter contare su di te. Andrai lontano con questo atteggiamento.,Goed. Ik wist dat ik op je kon rekenen. Je zult ver komen met die instelling.,Godt. Jeg visste jeg kunne stole på deg. Du kommer til å gå langt med den innstillingen.,"Dobrze. Wiedziałem, że mogę na tobie polegać. Zajdziesz daleko z taką postawą.",Bem. Eu sabia que podia contar com você. Você irá longe com essa atitude.,Bine. Am știut că mă pot baza pe tine. Vei merge departe cu această atitudine.,"Dobre. Vedel som, že sa na vás môžem spoľahnúť. S týmto prístupom pôjdete ďaleko.",Bra. Jag visste att jag kunde lita på dig. Du kommer långt med den inställningen.,İyi. Size güvenebileceğimi biliyordum. Bu tutumla çok ileriye gideceksiniz.,Tốt. Tôi đã biết tôi có thể tin tưởng anh. Anh sẽ đi xa với thái độ này.
Text/7e/text,The kind that [color=CRIMSON]threaten our way of life[/color]. Don't ask too many questions if you know what's good for you.,"Ti, co [color=CRIMSON]ohrožují náš způsob života[/color]. Neptejte se příliš mnoha otázek, pokud víte, co je pro vás dobré.","Dem, der [color=CRIMSON]truer vores måde at leve på[/color]. Stil ikke for mange spørgsmål, hvis du ved, hvad der er godt for dig.","Diejenigen, die [color=CRIMSON]unsere Lebensweise bedrohen[/color]. Stellen Sie nicht zu viele Fragen, wenn Sie wissen, was gut für Sie ist.",Los que [color=CRIMSON]amenazan nuestra forma de vida[/color]. No hagas demasiadas preguntas si sabes lo que te conviene.,"Ne, jotka [color=CRIMSON]uhkaavat elämäntapaamme[/color]. Älä kysy liikaa kysymyksiä, jos tiedät, mikä on parhaaksesi.",Ceux qui [color=CRIMSON]menacent notre mode de vie[/color]. Ne posez pas trop de questions si vous savez ce qui est bon pour vous.,"Azok, akik [color=CRIMSON]veszélyeztetik az életmódunkat[/color]. Ne tegyen fel túl sok kérdést, ha tudja, mi a jó magának.",Mereka yang [color=CRIMSON]mengancam cara hidup kita[/color]. Jangan banyak bertanya jika Anda tahu apa yang baik untuk Anda.,Coloro che [color=CRIMSON]minacciano il nostro modo di vivere[/color]. Non fare troppe domande se sai cosa è meglio per te.,Degenen die [color=CRIMSON]onze manier van leven bedreigen[/color]. Stel niet te veel vragen als je weet wat goed voor je is.,De som [color=CRIMSON]truer vår livsstil[/color]. Ikke still for mange spørsmål hvis du vet hva som er best for deg.,"Ci, którzy [color=CRIMSON]zagrażają naszemu stylowi życia[/color]. Nie zadawaj zbyt wielu pytań, jeśli wiesz, co jest dla ciebie dobre.",Aqueles que [color=CRIMSON]ameaçam nosso modo de vida[/color]. Não faça muitas perguntas se souber o que é bom para você.,Cei care [color=CRIMSON]amenință modul nostru de viață[/color]. Nu pune prea multe întrebări dacă știi ce e bine pentru tine.,"Tí, čo [color=CRIMSON]ohrozujú náš spôsob života[/color]. Nepýtajte sa príliš veľa otázok, ak viete, čo je pre vás dobré.",De som [color=CRIMSON]hotar vårt levnadssätt[/color]. Ställ inte för många frågor om du vet vad som är bra för dig.,Bizim [color=CRIMSON]yaşam tarzımızı tehdit edenler[/color]. Kendi iyiliğinizi biliyorsanız çok soru sormayın.,Những kẻ [color=CRIMSON]đe dọa lối sống của chúng tôi[/color]. Đừng hỏi quá nhiều nếu anh biết điều gì tốt cho mình.
Text/7f/text,"[color=STEEL_BLUE]Please, I beg you![/color] My wife was supposed to be right behind me, but she [tornado radius=2 freq=3]never made it through customs[/tornado].","[color=STEEL_BLUE]Prosím, zapřísahám vás![/color] Moje žena měla být hned za mnou, ale [tornado radius=2 freq=3]nikdy nepřešla celní kontrolou[/tornado].","[color=STEEL_BLUE]Jeg bønfalder dig![/color] Min kone skulle have været lige bag mig, men [tornado radius=2 freq=3]hun kom aldrig igennem toldkontrollen[/tornado].","[color=STEEL_BLUE]Ich flehe Sie an![/color] Meine Frau sollte direkt hinter mir sein, aber [tornado radius=2 freq=3]sie kam nie durch die Zollkontrolle[/tornado].","[color=STEEL_BLUE]¡Por favor, le suplico![/color] Mi esposa debía estar justo detrás de mí, pero [tornado radius=2 freq=3]nunca pasó por la aduana[/tornado].","[color=STEEL_BLUE]Rukoilen teitä![/color] Vaimoni oli olevinaan juuri minun takana, mutta [tornado radius=2 freq=3]hän ei koskaan päässyt tullista läpi[/tornado].","[color=STEEL_BLUE]Je vous en supplie![/color] Ma femme devait être juste derrière moi, mais [tornado radius=2 freq=3]elle n'a jamais passé la douane[/tornado].","[color=STEEL_BLUE]Könyörgök magának![/color] A feleségem épp mögöttem lett volna, de [tornado radius=2 freq=3]soha nem jutott át a vámon[/tornado].","[color=STEEL_BLUE]Saya mohon![/color] Istri saya seharusnya tepat di belakang saya, tapi [tornado radius=2 freq=3]dia tidak pernah lolos dari bea cukai[/tornado].","[color=STEEL_BLUE]La prego![/color] Mia moglie avrebbe dovuto essere proprio dietro di me, ma [tornado radius=2 freq=3]non è mai passata attraverso la dogana[/tornado].","[color=STEEL_BLUE]Ik smeek u![/color] Mijn vrouw had direct achter mij moeten zijn, maar [tornado radius=2 freq=3]ze is nooit door de douane gekomen[/tornado].","[color=STEEL_BLUE]Jeg ber deg innstendig![/color] Kona mi skulle ha vært rett bak meg, men [tornado radius=2 freq=3]hun kom aldri gjennom tollen[/tornado].","[color=STEEL_BLUE]Błagam![/color] Moja żona miała być tuż za mną, ale [tornado radius=2 freq=3]nigdy nie przeszła przez odprawę celną[/tornado].","[color=STEEL_BLUE]Eu imploro![/color] Minha esposa deveria estar bem atrás de mim, mas [tornado radius=2 freq=3]nunca passou pela alfândega[/tornado].","[color=STEEL_BLUE]Vă implor![/color] Soția mea ar fi trebuit să fie chiar în spatele meu, dar [tornado radius=2 freq=3]niciodată nu a trecut de vamă[/tornado].","[color=STEEL_BLUE]Prosím vás![/color] Moja manželka mala byť hneď za mnou, ale [tornado radius=2 freq=3]nikdy neprešla colnou kontrolou[/tornado].","[color=STEEL_BLUE]Jag ber er![/color] Min fru skulle ha varit precis bakom mig, men [tornado radius=2 freq=3]hon kom aldrig igenom tullen[/tornado].",[color=STEEL_BLUE]Yalvarıyorum![/color] Karım tam arkamda olmalıydı ama [tornado radius=2 freq=3]gümrükten hiç geçemedi[/tornado].,"[color=STEEL_BLUE]Tôi van nài ông![/color] Vợ tôi lẽ ra phải ngay sau lưng tôi, nhưng [tornado radius=2 freq=3]cô ấy chưa bao giờ vượt qua được hải quan[/tornado]."
Text/80/text,"No one will tell me what happened to her. Please, [color=CHARTREUSE]help me find her![/color]","Nikdo mi neřekne, co se jí stalo. Prosím, [color=CHARTREUSE]pomozte mi ji najít![/color]","Ingen vil fortælle mig, hvad der er sket med hende. Please, [color=CHARTREUSE]hjælp mig med at finde hende![/color]","Niemand will mir sagen, was mit ihr passiert ist. Bitte, [color=CHARTREUSE]helfen Sie mir, sie zu finden![/color]","Nadie me dice qué le ha pasado. Por favor, [color=CHARTREUSE]¡ayúdeme a encontrarla![/color]","Kukaan ei kerro minulle, mitä hänelle on tapahtunut. Pyydän, [color=CHARTREUSE]auttakaa minua löytämään hänet![/color]","Personne ne veut me dire ce qui lui est arrivé. S'il vous plaît, [color=CHARTREUSE]aidez-moi à la retrouver![/color]","Senki sem hajlandó elmondani, mi történt vele. Kérem, [color=CHARTREUSE]segítsen megtalálni![/color]","Tidak ada yang mau memberi tahu saya apa yang terjadi padanya. Tolong, [color=CHARTREUSE]bantu saya menemukannya![/color]","Nessuno mi vuole dire cosa le è successo. Per favore, [color=CHARTREUSE]aiutatemi a trovarla![/color]","Niemand wil me vertellen wat er met haar is gebeurd. Alstublieft, [color=CHARTREUSE]help me haar te vinden![/color]","Ingen vil fortelle meg hva som har skjedd med henne. Vær så snill, [color=CHARTREUSE]hjelp meg å finne henne![/color]","Nikt nie chce mi powiedzieć, co się jej stało. Proszę, [color=CHARTREUSE]pomóż mi ją znaleźć![/color]","Ninguém quer me dizer o que aconteceu com ela. Por favor, [color=CHARTREUSE]ajude-me a encontrá-la![/color]","Nimeni nu vrea să-mi spună ce i s-a întâmplat. Vă rog, [color=CHARTREUSE]ajutați-mă să o găsesc![/color]","Nikto mi nechce povedať, čo sa jej stalo. Prosím, [color=CHARTREUSE]pomôžte mi nájsť ju![/color]","Ingen vill berätta för mig vad som hänt henne. Snälla, [color=CHARTREUSE]hjälp mig att hitta henne![/color]","Kimse ona ne olduğunu söylemek istemiyor. Lütfen, [color=CHARTREUSE]onu bulmama yardım edin![/color]","Không ai muốn cho tôi biết chuyện gì đã xảy ra với cô ấy. Xin hãy, [color=CHARTREUSE]giúp tôi tìm cô ấy![/color]"
Choice/81/text,"""I'm sorry, but there's nothing I can do.""","Je mi líto, ale nemohu s tím nic udělat.","Jeg er ked af det, men der er intet, jeg kan gøre.","Es tut mir leid, aber ich kann nichts tun.","Lo siento, pero no puedo hacer nada.","Valitan, mutta en voi tehdä mitään.","Je suis désolé, mais je ne peux rien faire.","Sajnálom, de nem tudok semmit tenni.","Maaf, tapi saya tidak bisa berbuat apa-apa.","Mi dispiace, ma non posso fare nulla.","Het spijt me, maar ik kan niets doen.","Beklager, men jeg kan ikke gjøre noe.","Przepraszam, ale nic nie mogę zrobić.","Desculpe, mas não posso fazer nada.","Îmi pare rău, dar nu pot face nimic.","Je mi ľúto, ale nemôžem nič urobiť.","Förlåt, men jag kan inte göra något.","Özür dilerim, ama yapabileceğim bir şey yok.","Xin lỗi, nhưng tôi không thể làm gì được."
Choice/82/text,"""Let me see what I can find out. No promises.""",Nechám se po tom pátrat. Bez záruky.,"Lad mig se, hvad jeg kan finde ud af. Ingen garantier.","Lass mich sehen, was ich herausfinden kann. Keine Garantien.",Déjame ver qué puedo averiguar. Sin promesas.,Yritän selvittää asiaa. Ei takeita.,Laissez-moi voir ce que je peux découvrir. Pas de promesses.,"Hadd nézzem meg, mit tudok kideríteni. Nem ígérek semmit.",Biarkan saya mencoba mencari tahu. Tidak ada janji.,Lasciatemi vedere cosa posso scoprire. Nessuna promessa.,Laat me kijken wat ik te weten kan komen. Geen beloftes.,La meg se hva jeg kan finne ut. Ingen garantier.,"Pozwól, że sprawdzę, co mogę ustalić. Bez obietnic.",Deixe-me ver o que posso descobrir. Sem promessas.,Lasă-mă să văd ce pot afla. Fără promisiuni.,Nechám sa po tom pátrat. Bez záruk.,Låt mig se vad jag kan ta reda på. Inga löften.,"Ne bulabilirim, bir bakayım. Hiçbir söz vermiyorum.",Để tôi xem tôi có thể tìm ra gì. Không hứa hẹn gì.
Text/83/text,Just like all the others... [color=STEEL_BLUE]May your conscience weigh heavy as mine does.[/color],Stejně jako všichni ostatní... [color=STEEL_BLUE]Kéž vaše svědomí těží stejně jako mé.[/color],Ligesom alle de andre... [color=STEEL_BLUE]Må din samvittighed være tung som min.[/color],Wie alle anderen... [color=STEEL_BLUE]Möge Ihr Gewissen so schwer sein wie meines.[/color],Como todos los demás... [color=STEEL_BLUE]Que su conciencia pese tanto como la mía.[/color],Kuten kaikki muutkin... [color=STEEL_BLUE]Painakoon omatuntonne yhtä raskaasti kuin minun.[/color],Comme tous les autres... [color=STEEL_BLUE]Que votre conscience soit aussi lourde que la mienne.[/color],"Mint mindenki más... [color=STEEL_BLUE]Nyomja meg a lelkiismerete, ahogy az enyémet.[/color]",Seperti yang lainnya... [color=STEEL_BLUE]Semoga nurani Anda seberat nuraniku.[/color],Come tutti gli altri... [color=STEEL_BLUE]Che la vostra coscienza sia tanto pesante quanto la mia.[/color],Net als alle anderen... [color=STEEL_BLUE]Moge uw geweten even zwaar zijn als het mijne.[/color],Som alle de andre... [color=STEEL_BLUE]Må din samvittighet være like tung som min.[/color],Jak wszyscy inni... [color=STEEL_BLUE]Niech wasze sumienie będzie równie ciężkie co moje.[/color],Como todos os outros... [color=STEEL_BLUE]Que sua consciência pese tanto quanto a minha.[/color],Ca toți ceilalți... [color=STEEL_BLUE]Să vă apese conștiința la fel de greu ca a mea.[/color],Ako všetci ostatní... [color=STEEL_BLUE]Nech vás váha svedomia zaťaží rovnako ako mňa.[/color],Som alla andra... [color=STEEL_BLUE]Må er samvete tyngas lika tungt som mitt.[/color],Diğerlerinin aynısı... [color=STEEL_BLUE]Vicdanınız benim ki kadar ağır olsun.[/color],Giống như tất cả những người khác... [color=STEEL_BLUE]Mong rằng lương tâm ông nặng nề như của tôi.[/color]
Text/84/text,Thank you! Even a small hope is better than none. Here's her photo. Please find her.,"Děkuji! I malá naděje je lepší než žádná. Zde je její fotografie. Prosím, najděte ji.",Tak! Selv et lille håb er bedre end intet. Her er hendes foto. Find hende venligst.,Danke! Selbst eine kleine Hoffnung ist besser als keine. Hier ist ihr Foto. Bitte finden Sie sie.,"¡Gracias! Incluso una pequeña esperanza es mejor que ninguna. Aquí está su foto. Por favor, encuéntrela.",Kiitos! Pienikin toivo on parempi kuin ei mitään. Tässä on hänen valokuvansa. Löytäkää hänet.,"Merci ! Même un petit espoir vaut mieux que rien. Voici sa photo. Trouvez-la, je vous en prie.","Köszönöm! Még egy apró remény is jobb, mint semmi. Itt az ő fényképe. Kérem, találja meg.",Terima kasih! Bahkan secuil harapan lebih baik daripada tidak ada. Ini foto dia. Tolong temukan dia.,"Grazie! Anche una piccola speranza è meglio di niente. Ecco la sua foto. Per favore, la trovi.","Dank je! Zelfs een kleine hoop is beter dan geen. Hier is haar foto. Alstublieft, vind haar.",Takk! Selv et lite håp er bedre enn ingen ting. Her er hennes bilde. Vær så snill å finn henne.,"Dziękuję! Nawet mała nadzieja jest lepsza niż żadna. Oto jej zdjęcie. Proszę, znajdź ją.","Obrigado! Mesmo uma pequena esperança é melhor que nenhuma. Aqui está a foto dela. Por favor, encontre-a.","Mulțumesc! Chiar și o mică speranță e mai bună decât nimic. Iată fotografia ei. Vă rog, găsiți-o.","Ďakujem! Aj malá nádej je lepšia ako žiadna. Tu je jej fotografia. Prosím, nájdite ju.",Tack! Till och med ett litet hopp är bättre än inget. Här är hennes foto. Var snäll och hitta henne.,Teşekkür ederim! Küçük bir umut bile hiç yoktan iyidir. İşte onun fotoğrafı. Lütfen onu bulun.,Cảm ơn! Thậm chí một chút hy vọng cũng tốt hơn không có gì. Đây là ảnh của cô ấy. Xin hãy tìm cô ấy.
Text/85/text,I saw that exchange. [color=DARK_ORANGE]Sympathizing with rejects only leads to trouble.[/color] Stay focused on your duty.,Viděl jsem tu výměnu. [color=DARK_ORANGE]Soucit s odmítnutými vede jen k potížím.[/color] Zůstaňte zaměřeni na svou povinnost.,Jeg så den udveksling. [color=DARK_ORANGE]Sympati med afviste fører kun til problemer.[/color] Hold fokus på din pligt.,Ich habe diesen Austausch gesehen. [color=DARK_ORANGE]Sympathie für Abgelehnte führt nur zu Ärger.[/color] Bleiben Sie auf Ihre Pflicht fokussiert.,Vi ese intercambio. [color=DARK_ORANGE]Simpatizar con los rechazados solo trae problemas.[/color] Manténgase concentrado en su deber.,Näin tuon keskustelun. [color=DARK_ORANGE]Hylättyjen kanssa sääiskely johtaa vain vaikeuksiin.[/color] Keskity tehtävääsi.,J'ai assisté à cet échange. [color=DARK_ORANGE]Sympathiser avec les exclus ne mène qu'à des ennuis.[/color] Restez concentré sur votre devoir.,Láttam ezt a beszélgetést. [color=DARK_ORANGE]A kitaszítottakkal való együttérzés csak bajt hoz.[/color] Maradjon összpontosított a feladatán.,Saya melihat percakapan itu. [color=DARK_ORANGE]Bersimpati dengan mereka yang ditolak hanya akan mendatangkan masalah.[/color] Tetap fokus pada tugas Anda.,Ho assistito a quello scambio. [color=DARK_ORANGE]Compatire gli esclusi porta solo guai.[/color] Restate concentrati sul vostro dovere.,Ik zag die uitwisseling. [color=DARK_ORANGE]Sympathie voor afgewezenen leidt alleen maar tot problemen.[/color] Blijf gefocust op uw plicht.,Jeg så den utvekslingen. [color=DARK_ORANGE]Sympati med avviste fører bare til trøbbel.[/color] Hold fokus på din plikt.,Widziałem tę wymianę. [color=DARK_ORANGE]Współczucie odrzuconym prowadzi tylko do kłopotów.[/color] Pozostań skupiony na swoim obowiązku.,Eu vi essa troca. [color=DARK_ORANGE]Compadecer-se dos rejeitados só traz problemas.[/color] Mantenha-se focado em seu dever.,Am văzut schimbul acela. [color=DARK_ORANGE]Compătimirea celor respinși duce doar la probleme.[/color] Rămâneți concentrat pe datoria dumneavoastră.,Videl som tú výmenu. [color=DARK_ORANGE]Spoluúčasť s vyhostenými vedie len k problémom.[/color] Zostaňte sústredení na svoju povinnosť.,Jag såg det utbytet. [color=DARK_ORANGE]Sympati med avvisade leder bara till problem.[/color] Förbli fokuserad på er plikt.,O konuşmaya şahit oldum. [color=DARK_ORANGE]Reddedilenlerle sempati duymak sadece sorun getirir.[/color] Görevinize odaklanın.,Tôi đã chứng kiến cuộc trao đổi đó. [color=DARK_ORANGE]Đồng cảm với những kẻ bị loại bỏ chỉ dẫn đến rắc rối.[/color] Hãy tập trung vào nhiệm vụ của mình.
Choice/7b/disabled_text,,,,,,,,,,,,,,,,,,,
Choice/82/disabled_text,,,,,,,,,,,,,,,,,,,
Choice/81/disabled_text,,,,,,,,,,,,,,,,,,,
Choice/7c/disabled_text,,,,,,,,,,,,,,,,,,,
